 Position.x[m] Position.y[m]
384990227.2964363694 2743152.6093597594
384990180.7045500278 2749683.8141747024
384990134.0018643141 2756215.0181982936
384990087.1883794069 2762746.2214286523
384990040.2640952468 2769277.4238638990
384989993.2290118337 2775808.6255021542
384989946.0831292272 2782339.8263415382
384989898.8264474273 2788871.0263801711
384989851.4589663744 2795402.2256161738
384989803.9806862473 2801933.4240476661
384989756.3916068673 2808464.6216727686
384989708.6917284131 2814995.8184896018
384989660.8810507655 2821527.0144962859
384989612.9595740438 2828058.2096909406
384989564.9272981286 2834589.4040716868
384989516.7842231989 2841120.5976366457
384989468.5303491950 2847651.7903839359
384989420.1656761169 2854182.9823116786
384989371.6902039647 2860714.1734179948
384989323.1039327383 2867245.3637010036
384989274.4068625569 2873776.5531588262
384989225.5989933014 2880307.7417895822
384989176.6803251505 2886838.9295913926
384989127.6508579254 2893370.1165623777
384989078.5105918050 2899901.3027006574
384989029.2595266700 2906432.4880043529
384988979.8976625800 2912963.6724715834
384988930.4249995947 2919494.8561004698
384988880.8415377736 2926026.0388891329
384988831.1472769380 2932557.2208356922
384988781.3422172666 2939088.4019382684
384988731.4263587594 2945619.5821949821
384988681.3997013569 2952150.7616039533
384988631.2622451186 2958681.9401633018
384988581.0139901042 2965213.1178711499
384988530.6549361944 2971744.2947256155
384988480.1850835681 2978275.4707248206
384988429.6044321060 2984806.6458668848
384988378.9129819274 2991337.8201499288
384988328.1107329726 2997868.9935720726
384988277.1976852417 3004400.1661314368
384988226.1738388538 3010931.3378261416
384988175.0391936898 3017462.5086543076
384988123.7937499285 3023993.6786140548
384988072.4375073910 3030524.8477035039
384988020.9704662561 3037056.0159207750
384987969.3926264048 3043587.1832639887
384987917.7039880157 3050118.3497312646
384987865.9045509100 3056649.5153207243
384987813.9943152666 3063180.6800304870
384987761.9732809663 3069711.8438586732
384987709.8414481878 3076243.0068034041
384987657.5988167524 3082774.1688627996
384987605.2453868389 3089305.3300349792
384987552.7811583877 3095836.4903180646
384987500.2061313987 3102367.6497101760
384987447.5203059316 3108898.8082094318
384987394.7236819863 3115429.9658139544
384987341.8162595630 3121961.1225218647
384987288.7980386615 3128492.2783312807
384987235.6690193415 3135023.4332403243
