 Position.x[m] Position.z[m]
384999999.0493754745 27055.1450177322
384999999.0421601534 27157.6266274782
384999999.0349175334 27260.1082372223
384999999.0276476741 27362.5898469644
384999999.0203504562 27465.0714567046
384999999.0130259991 27567.5530664429
384999999.0056742430 27670.0346761792
384999998.9982952476 27772.5162859135
384999998.9908889532 27874.9978956459
384999998.9834553599 27977.4795053763
384999998.9759945273 28079.9611151047
384999998.9685063958 28182.4427248312
384999998.9609909654 28284.9243345556
384999998.9534482956 28387.4059442780
384999998.9458783269 28489.8875539984
384999998.9382810593 28592.3691637168
384999998.9306565523 28694.8507734332
384999998.9230047464 28797.3323831475
384999998.9153256416 28899.8139928598
384999998.9076192975 29002.2956025701
384999998.8998855948 29104.7772122783
384999998.8921247125 29207.2588219844
384999998.8843365312 29309.7404316885
384999998.8765210509 29412.2220413905
384999998.8686782718 29514.7036510904
384999998.8608082533 29617.1852607882
384999998.8529108763 29719.6668704839
384999998.8449863195 29822.1484801775
384999998.8370344043 29924.6300898690
384999998.8290552497 30027.1116995584
384999998.8210488558 30129.5933092456
384999998.8130151629 30232.0749189307
384999998.8049541116 30334.5565286137
384999998.7968658209 30437.0381382945
384999998.7887502909 30539.5197479732
384999998.7806074619 30642.0013576497
384999998.7724373937 30744.4829673240
384999998.7642399669 30846.9645769961
384999998.7560153008 30949.4461866661
384999998.7477633357 31051.9277963339
384999998.7394841313 31154.4094059995
384999998.7311776280 31256.8910156628
384999998.7228438258 31359.3726253240
384999998.7144827247 31461.8542349829
384999998.7060943842 31564.3358446396
384999998.6976788044 31666.8174542941
384999998.6892359257 31769.2990639463
384999998.6807656884 31871.7806735962
384999998.6722682118 31974.2622832439
384999998.6637434959 32076.7438928894
384999998.6551914811 32179.2255025326
384999998.6466121674 32281.7071121734
384999998.6380056143 32384.1887218121
384999998.6293717623 32486.6703314484
384999998.6207106113 32589.1519410824
384999998.6120221615 32691.6335507141
384999998.6033065319 32794.1151603434
384999998.5945635438 32896.5967699705
384999998.5857932568 32999.0783795952
384999998.5769957304 33101.5599892176
384999998.5681709647 33204.0415988377
384999998.5593188405 33306.5232084553
384999998.5504394770 33409.0048180707
384999998.5415328145 33511.4864276836
384999998.5325989127 33613.9680372942
384999998.5236376524 33716.4496469024
384999998.5146492124 33818.9312565083
384999998.5056334138 33921.4128661117
384999998.4965903759 34023.8944757127
384999998.4875200987 34126.3760853113
384999998.4784224629 34228.8576949075
384999998.4692975879 34331.3393045012
384999998.4601454139 34433.8209140926
384999998.4509660006 34536.3025236815
384999998.4417592883 34638.7841332679
384999998.4325252771 34741.2657428519
384999998.4232639670 34843.7473524334
384999998.4139754176 34946.2289620125
384999998.4046595693 35048.7105715891
384999998.3953164816 35151.1921811632
384999998.3859460950 35253.6737907348
384999998.3765484095 35356.1554003039
384999998.3671234250 35458.6370098705
384999998.3576712012 35561.1186194346
384999998.3481917381 35663.6002289962
384999998.3386849165 35766.0818385552
384999998.3291508555 35868.5634481117
384999998.3195894957 35971.0450576657
384999998.3100008965 36073.5266672171
384999998.3003849983 36176.0082767660
384999998.2907417417 36278.4898863123
384999998.2810713053 36380.9714958560
384999998.2713735700 36483.4531053972
384999998.2616485357 36585.9347149357
384999998.2518962026 36688.4163244717
384999998.2421166897 36790.8979340051
384999998.2323098183 36893.3795435359
384999998.2224756479 36995.8611530640
384999998.2126142383 37098.3427625896
384999998.2027255297 37200.8243721125
384999998.1928095222 37303.3059816328
384999998.1828663349 37405.7875911504
384999998.1728957891 37508.2692006654
384999998.1628979445 37610.7508101777
384999998.1528728604 37713.2324196873
384999998.1428204775 37815.7140291943
384999998.1327408552 37918.1956386986
384999998.1226338744 38020.6772482002
384999998.1124997139 38123.1588576992
384999998.1023381948 38225.6404671954
384999998.0921494365 38328.1220766889
384999998.0819333792 38430.6036861797
384999998.0716900229 38533.0852956678
384999998.0614194274 38635.5669051531
384999998.0511215925 38738.0485146357
384999998.0407963991 38840.5301241156
384999998.0304439068 38943.0117335927
384999998.0200641751 39045.4933430670
384999998.0096572042 39147.9749525386
384999997.9992229342 39250.4565620074
384999997.9887613654 39352.9381714735
384999997.9782724977 39455.4197809367
384999997.9677563906 39557.9013903972
384999997.9572129846 39660.3829998548
384999997.9466423392 39762.8646093096
384999997.9360443950 39865.3462187616
384999997.9254191518 39967.8278282108
384999997.9147666097 40070.3094376572
384999997.9040868282 40172.7910471007
384999997.8933797479 40275.2726565414
384999997.8826454282 40377.7542659792
384999997.8718837500 40480.2358754142
384999997.8610948920 40582.7174848463
384999997.8502786160 40685.1990942755
384999997.8394352198 40787.6807037018
384999997.8285644054 40890.1623131252
384999997.8176664114 40992.6439225458
384999997.8067411184 41095.1255319634
384999997.7957885265 41197.6071413782
384999997.7848086953 41300.0887507900
384999997.7738015056 41402.5703601988
384999997.7627670765 41505.0519696048
384999997.7517054081 41607.5335790078
384999997.7406163812 41710.0151884079
384999997.7295001149 41812.4967978050
384999997.7183566093 41914.9784071991
384999997.7071857452 42017.4600165903
384999997.6959877014 42119.9416259785
384999997.6847622991 42222.4232353637
384999997.6735096574 42324.9048447459
384999997.6622296572 42427.3864541251
384999997.6509224772 42529.8680635013
384999997.6395879984 42632.3496728745
384999997.6282262206 42734.8312822447
384999997.6168371439 42837.3128916119
384999997.6054208279 42939.7945009760
384999997.5939772129 43042.2761103371
384999997.5825062990 43144.7577196951
384999997.5710081458 43247.2393290501
384999997.5594826937 43349.7209384020
384999997.5479300022 43452.2025477508
384999997.5363500118 43554.6841570965
384999997.5247426629 43657.1657664392
384999997.5131081343 43759.6473757788
384999997.5014462471 43862.1289851153
384999997.4897571206 43964.6105944486
384999997.4780407548 44067.0922037789
384999997.4662970901 44169.5738131060
384999997.4545261264 44272.0554224300
384999997.4427278638 44374.5370317508
384999997.4309023619 44477.0186410686
384999997.4190495610 44579.5002503831
384999997.4071694613 44681.9818596945
384999997.3952621222 44784.4634690028
384999997.3833274841 44886.9450783079
384999997.3713655472 44989.4266876097
384999997.3593763709 45091.9082969084
384999997.3473598957 45194.3899062039
384999997.3353161216 45296.8715154962
384999997.3232451081 45399.3531247853
384999997.3111467957 45501.8347340712
384999997.2990211844 45604.3163433539
384999997.2868683338 45706.7979526333
384999997.2746881843 45809.2795619095
384999997.2624807358 45911.7611711824
384999997.2502460480 46014.2427804521
384999997.2379840612 46116.7243897185
384999997.2256947756 46219.2059989817
384999997.2133782506 46321.6876082415
384999997.2010344267 46424.1692174981
384999997.1886633039 46526.6508267515
384999997.1762649417 46629.1324360015
384999997.1638392806 46731.6140452482
384999997.1513863206 46834.0956544916
384999997.1389061213 46936.5772637316
384999997.1263986230 47039.0588729684
384999997.1138638258 47141.5404822018
384999997.1013017893 47244.0220914319
384999997.0887124538 47346.5037006586
384999997.0760958195 47448.9853098820
384999997.0634519458 47551.4669191020
384999997.0507807732 47653.9485283187
384999997.0380823016 47756.4301375319
384999997.0253565907 47858.9117467418
384999997.0126035810 47961.3933559483
384999996.9998232722 48063.8749651514
384999996.9870157242 48166.3565743511
384999996.9741808176 48268.8381835474
384999996.9613187313 48371.3197927402
384999996.9484293461 48473.8014019297
384999996.9355126619 48576.2830111157
384999996.9225686789 48678.7646202982
384999996.9095973969 48781.2462294773
384999996.8965988755 48883.7278386530
384999996.8835730553 48986.2094478252
384999996.8705199957 49088.6910569939
384999996.8574396372 49191.1726661591
384999996.8443320394 49293.6542753209
384999996.8311970830 49396.1358844791
384999996.8180348873 49498.6174936339
384999996.8048453927 49601.0991027851
384999996.7916286588 49703.5807119329
384999996.7783846259 49806.0623210771
384999996.7651132941 49908.5439302178
384999996.7518146634 50011.0255393549
384999996.7384887934 50113.5071484885
384999996.7251356840 50215.9887576186
384999996.7117552161 50318.4703667451
384999996.6983475089 50420.9519758680
384999996.6849125624 50523.4335849874
384999996.6714502573 50625.9151941031
384999996.6579607129 50728.3968032153
384999996.6444438696 50830.8784123239
384999996.6308997869 50933.3600214289
384999996.6173284054 51035.8416305303
384999996.6037297249 51138.3232396281
384999996.5901037455 51240.8048487222
384999996.5764505863 51343.2864578127
384999996.5627700686 51445.7680668996
384999996.5490622520 51548.2496759829
384999996.5353271961 51650.7312850625
384999996.5215648413 51753.2128941384
384999996.5077752471 51855.6945032106
384999996.4939583540 51958.1761122792
384999996.4801141620 52060.6577213441
384999996.4662427306 52163.1393304053
384999996.4523439407 52265.6209394628
384999996.4384179711 52368.1025485166
384999996.4244646430 52470.5841575667
384999996.4104840755 52573.0657666131
384999996.3964762092 52675.5473756558
384999996.3824411035 52778.0289846947
384999996.3683786988 52880.5105937299
384999996.3542889953 52982.9922027613
384999996.3401719928 53085.4738117890
384999996.3260277510 53187.9554208129
384999996.3118562698 53290.4370298331
384999996.2976574302 53392.9186388495
384999996.2834313512 53495.4002478621
384999996.2691779733 53597.8818568709
384999996.2548973560 53700.3634658759
384999996.2405894399 53802.8450748771
384999996.2262542248 53905.3266838745
384999996.2118917108 54007.8082928680
384999996.1975019574 54110.2899018578
384999996.1830849051 54212.7715108437
384999996.1686406136 54315.2531198258
384999996.1541690230 54417.7347288040
384999996.1396701336 54520.2163377783
384999996.1251440048 54622.6979467488
384999996.1105905175 54725.1795557155
384999996.0960098505 54827.6611646782
384999996.0814018250 54930.1427736371
384999996.0667665601 55032.6243825921
384999996.0521039963 55135.1059915431
384999996.0374141335 55237.5876004903
384999996.0226970315 55340.0692094336
384999996.0079526305 55442.5508183729
384999995.9931809902 55545.0324273083
384999995.9783820510 55647.5140362398
384999995.9635558128 55749.9956451673
384999995.9487023354 55852.4772540909
384999995.9338214993 55954.9588630105
384999995.9189134240 56057.4404719262
384999995.9039781094 56159.9220808379
384999995.8890154362 56262.4036897456
384999995.8740255833 56364.8852986493
384999995.8590083718 56467.3669075490
384999995.8439639211 56569.8485164447
384999995.8288921714 56672.3301253364
384999995.8137931824 56774.8117342242
384999995.7986668348 56877.2933431078
384999995.7835132480 56979.7749519875
384999995.7683324218 57082.2565608631
384999995.7531242967 57184.7381697347
384999995.7378888726 57287.2197786022
384999995.7226262093 57389.7013874656
384999995.7073361874 57492.1829963250
384999995.6920189261 57594.6646051803
384999995.6766744256 57697.1462140316
384999995.6613026261 57799.6278228787
384999995.6459034681 57902.1094317218
384999995.6304771900 58004.5910405607
384999995.6150234938 58107.0726493956
384999995.5995425582 58209.5542582263
384999995.5840343833 58312.0358670529
384999995.5684988499 58414.5174758753
384999995.5529361367 58516.9990846937
384999995.5373460650 58619.4806935078
384999995.5217286944 58721.9623023179
