Time[s] Mass[kg] Fuel[kg] FuelUsage[kg/s] Posx(t)[m] Posy(t)[m] Posz(t)[m] Velx(t)[m/s] Vely(t)[m/s] Velz(t)[m/s] EngineFx[N] EngineFy[N] EngineFz[N] NetFx[N] NetFy[N] NetFz[N] EKinx[J] EKiny[J] EKinz[J] EPotx[J] EPoty[J] EPotz[J] Method
7.4 9925 425 10 1.447493073 0 0 0.3764322134 0 0 500 0 0 500 0 0 1868.044859 0 0 0 0 0 2
7.5 9924 424 10 1.485892038 0 0 0.3814705044 0 0 500 0 0 500 0 0 1892.856643 0 0 0 0 0 2
7.6 9923 423 10 1.524794908 0 0 0.3865093031 0 0 500 0 0 500 0 0 1917.665907 0 0 0 0 0 2
7.7 9922 422 10 1.564201734 0 0 0.3915486097 0 0 500 0 0 500 0 0 1942.472653 0 0 0 0 0 2
7.8 9921 421 10 1.604112568 0 0 0.3965884242 0 0 500 0 0 500 0 0 1967.276878 0 0 0 0 0 2
7.9 9920 420 10 1.644527458 0 0 0.4016287468 0 0 500 0 0 500 0 0 1992.078584 0 0 0 0 0 2
8 9919 419 10 1.685446458 0 0 0.4066695776 0 0 500 0 0 500 0 0 2016.87777 0 0 0 0 0 2
8.1 9918 418 10 1.726869616 0 0 0.4117109165 0 0 500 0 0 500 0 0 2041.674435 0 0 0 0 0 2
8.2 9917 417 10 1.768796985 0 0 0.4167527639 0 0 500 0 0 500 0 0 2066.46858 0 0 0 0 0 2
8.3 9916 416 10 1.811228615 0 0 0.4217951197 0 0 500 0 0 500 0 0 2091.260203 0 0 0 0 0 2
8.4 9915 415 10 1.854164556 0 0 0.426837984 0 0 500 0 0 500 0 0 2116.049306 0 0 0 0 0 2
8.5 9914 414 10 1.897604861 0 0 0.431881357 0 0 500 0 0 500 0 0 2140.835887 0 0 0 0 0 2
8.6 9913 413 10 1.941549579 0 0 0.4369252388 0 0 500 0 0 500 0 0 2165.619946 0 0 0 0 0 2
8.7 9912 412 10 1.985998761 0 0 0.4419696294 0 0 500 0 0 500 0 0 2190.401483 0 0 0 0 0 2
8.8 9911 411 10 2.030952459 0 0 0.447014529 0 0 500 0 0 500 0 0 2215.180499 0 0 0 0 0 2
8.9 9910 410 10 2.076410723 0 0 0.4520599377 0 0 500 0 0 500 0 0 2239.956991 0 0 0 0 0 2
9 9909 409 10 2.122373605 0 0 0.4571058556 0 0 500 0 0 500 0 0 2264.730961 0 0 0 0 0 2
9.1 9908 408 10 2.168841154 0 0 0.4621522827 0 0 500 0 0 500 0 0 2289.502408 0 0 0 0 0 2
9.2 9907 407 10 2.215813423 0 0 0.4671992192 0 0 500 0 0 500 0 0 2314.271332 0 0 0 0 0 2
9.3 9906 406 10 2.263290462 0 0 0.4722466652 0 0 500 0 0 500 0 0 2339.037733 0 0 0 0 0 2
9.4 9905 405 10 2.311272322 0 0 0.4772946208 0 0 500 0 0 500 0 0 2363.801609 0 0 0 0 0 2
9.5 9904 404 10 2.359759054 0 0 0.482343086 0 0 500 0 0 500 0 0 2388.562962 0 0 0 0 0 2
9.6 9903 403 10 2.408750708 0 0 0.4873920611 0 0 500 0 0 500 0 0 2413.321791 0 0 0 0 0 2
9.7 9902 402 10 2.458247337 0 0 0.492441546 0 0 500 0 0 500 0 0 2438.078094 0 0 0 0 0 2
9.8 9901 401 10 2.508248991 0 0 0.497491541 0 0 500 0 0 500 0 0 2462.831874 0 0 0 0 0 2
9.9 9900 400 10 2.558755721 0 0 0.502542046 0 0 500 0 0 500 0 0 2487.583128 0 0 0 0 0 2
10 9899 399 10 2.609767578 0 0 0.5075930613 0 0 500 0 0 500 0 0 2512.331857 0 0 0 0 0 2
10.1 9898 398 10 2.661284613 0 0 0.5126445869 0 0 500 0 0 500 0 0 2537.07806 0 0 0 0 0 2
10.2 9897 397 10 2.713306877 0 0 0.5176966228 0 0 500 0 0 500 0 0 2561.821738 0 0 0 0 0 2
10.3 9896 396 10 2.765834421 0 0 0.5227491693 0 0 500 0 0 500 0 0 2586.56289 0 0 0 0 0 2
10.4 9895 395 10 2.818867297 0 0 0.5278022264 0 0 500 0 0 500 0 0 2611.301515 0 0 0 0 0 2
10.5 9894 394 10 2.872405555 0 0 0.5328557942 0 0 500 0 0 500 0 0 2636.037614 0 0 0 0 0 2
10.6 9893 393 10 2.926449246 0 0 0.5379098729 0 0 500 0 0 500 0 0 2660.771186 0 0 0 0 0 2
10.7 9892 392 10 2.980998421 0 0 0.5429644624 0 0 500 0 0 500 0 0 2685.502231 0 0 0 0 0 2
10.8 9891 391 10 3.036053133 0 0 0.548019563 0 0 500 0 0 500 0 0 2710.230749 0 0 0 0 0 2
10.9 9890 390 10 3.091613431 0 0 0.5530751748 0 0 500 0 0 500 0 0 2734.956739 0 0 0 0 0 2
11 9889 389 10 3.147679367 0 0 0.5581312977 0 0 500 0 0 500 0 0 2759.680202 0 0 0 0 0 2
11.1 9888 388 10 3.204250992 0 0 0.563187932 0 0 500 0 0 500 0 0 2784.401136 0 0 0 0 0 2
11.2 9887 387 10 3.261328357 0 0 0.5682450778 0 0 500 0 0 500 0 0 2809.119542 0 0 0 0 0 2
11.3 9886 386 10 3.318911513 0 0 0.5733027351 0 0 500 0 0 500 0 0 2833.835419 0 0 0 0 0 2
11.4 9885 385 10 3.377000512 0 0 0.578360904 0 0 500 0 0 500 0 0 2858.548768 0 0 0 0 0 2
11.5 9884 384 10 3.435595405 0 0 0.5834195847 0 0 500 0 0 500 0 0 2883.259588 0 0 0 0 0 2
11.6 9883 383 10 3.494696242 0 0 0.5884787773 0 0 500 0 0 500 0 0 2907.967878 0 0 0 0 0 2
11.7 9882 382 10 3.554303075 0 0 0.5935384818 0 0 500 0 0 500 0 0 2932.673638 0 0 0 0 0 2
11.8 9881 381 10 3.614415956 0 0 0.5985986984 0 0 500 0 0 500 0 0 2957.376869 0 0 0 0 0 2
11.9 9880 380 10 3.675034935 0 0 0.6036594271 0 0 500 0 0 500 0 0 2982.07757 0 0 0 0 0 2
12 9879 379 10 3.736160064 0 0 0.6087206681 0 0 500 0 0 500 0 0 3006.77574 0 0 0 0 0 2
12.1 9878 378 10 3.797791394 0 0 0.6137824215 0 0 500 0 0 500 0 0 3031.47138 0 0 0 0 0 2
12.2 9877 377 10 3.859928976 0 0 0.6188446874 0 0 500 0 0 500 0 0 3056.164489 0 0 0 0 0 2
12.3 9876 376 10 3.922572861 0 0 0.6239074658 0 0 500 0 0 500 0 0 3080.855066 0 0 0 0 0 2
12.4 9875 375 10 3.985723102 0 0 0.628970757 0 0 500 0 0 500 0 0 3105.543113 0 0 0 0 0 2
12.5 9874 374 10 4.049379748 0 0 0.6340345609 0 0 500 0 0 500 0 0 3130.228627 0 0 0 0 0 2
12.6 9873 373 10 4.113542851 0 0 0.6390988777 0 0 500 0 0 500 0 0 3154.91161 0 0 0 0 0 2
12.7 9872 372 10 4.178212464 0 0 0.6441637075 0 0 500 0 0 500 0 0 3179.59206 0 0 0 0 0 2
12.8 9871 371 10 4.243388636 0 0 0.6492290505 0 0 500 0 0 500 0 0 3204.269979 0 0 0 0 0 2
12.9 9870 370 10 4.309071419 0 0 0.6542949066 0 0 500 0 0 500 0 0 3228.945364 0 0 0 0 0 2
13 9869 369 10 4.375260865 0 0 0.659361276 0 0 500 0 0 500 0 0 3253.618217 0 0 0 0 0 2
13.1 9868 368 10 4.441957025 0 0 0.6644281589 0 0 500 0 0 500 0 0 3278.288536 0 0 0 0 0 2
13.2 9867 367 10 4.509159951 0 0 0.6694955553 0 0 500 0 0 500 0 0 3302.956322 0 0 0 0 0 2
13.3 9866 366 10 4.576869693 0 0 0.6745634653 0 0 500 0 0 500 0 0 3327.621574 0 0 0 0 0 2
13.4 9865 365 10 4.645086303 0 0 0.679631889 0 0 500 0 0 500 0 0 3352.284292 0 0 0 0 0 2
13.5 9864 364 10 4.713809832 0 0 0.6847008265 0 0 500 0 0 500 0 0 3376.944476 0 0 0 0 0 2
13.6 9863 363 10 4.783040333 0 0 0.689770278 0 0 500 0 0 500 0 0 3401.602126 0 0 0 0 0 2
13.7 9862 362 10 4.852777855 0 0 0.6948402435 0 0 500 0 0 500 0 0 3426.257241 0 0 0 0 0 2
13.8 9861 361 10 4.923022452 0 0 0.6999107232 0 0 500 0 0 500 0 0 3450.909821 0 0 0 0 0 2
13.9 9860 360 10 4.993774173 0 0 0.7049817171 0 0 500 0 0 500 0 0 3475.559865 0 0 0 0 0 2
14 9859 359 10 5.065033071 0 0 0.7100532254 0 0 500 0 0 500 0 0 3500.207375 0 0 0 0 0 2
14.1 9858 358 10 5.136799197 0 0 0.7151252481 0 0 500 0 0 500 0 0 3524.852348 0 0 0 0 0 2
14.2 9857 357 10 5.209072602 0 0 0.7201977854 0 0 500 0 0 500 0 0 3549.494785 0 0 0 0 0 2
14.3 9856 356 10 5.281853339 0 0 0.7252708373 0 0 500 0 0 500 0 0 3574.134686 0 0 0 0 0 2
14.4 9855 355 10 5.355141458 0 0 0.7303444041 0 0 500 0 0 500 0 0 3598.772051 0 0 0 0 0 2
14.5 9854 354 10 5.42893701 0 0 0.7354184857 0 0 500 0 0 500 0 0 3623.406879 0 0 0 0 0 2
14.6 9853 353 10 5.503240048 0 0 0.7404930822 0 0 500 0 0 500 0 0 3648.03917 0 0 0 0 0 2
14.7 9852 352 10 5.578050623 0 0 0.7455681939 0 0 500 0 0 500 0 0 3672.668923 0 0 0 0 0 2
14.8 9851 351 10 5.653368787 0 0 0.7506438207 0 0 500 0 0 500 0 0 3697.296139 0 0 0 0 0 2
14.9 9850 350 10 5.72919459 0 0 0.7557199628 0 0 500 0 0 500 0 0 3721.920817 0 0 0 0 0 2
15 9849 349 10 5.805528085 0 0 0.7607966204 0 0 500 0 0 500 0 0 3746.542957 0 0 0 0 0 2
15.1 9848 348 10 5.882369323 0 0 0.7658737934 0 0 500 0 0 500 0 0 3771.162559 0 0 0 0 0 2
15.2 9847 347 10 5.959718356 0 0 0.770951482 0 0 500 0 0 500 0 0 3795.779622 0 0 0 0 0 2
15.3 9846 346 10 6.037575234 0 0 0.7760296864 0 0 500 0 0 500 0 0 3820.394146 0 0 0 0 0 2
15.4 9845 345 10 6.115940011 0 0 0.7811084066 0 0 500 0 0 500 0 0 3845.006131 0 0 0 0 0 2
15.5 9844 344 10 6.194812737 0 0 0.7861876426 0 0 500 0 0 500 0 0 3869.615577 0 0 0 0 0 2
15.6 9843 343 10 6.274193464 0 0 0.7912673947 0 0 500 0 0 500 0 0 3894.222483 0 0 0 0 0 2
15.7 9842 342 10 6.354082244 0 0 0.796347663 0 0 500 0 0 500 0 0 3918.82685 0 0 0 0 0 2
15.8 9841 341 10 6.434479128 0 0 0.8014284475 0 0 500 0 0 500 0 0 3943.428676 0 0 0 0 0 2
15.9 9840 340 10 6.515384168 0 0 0.8065097483 0 0 500 0 0 500 0 0 3968.027961 0 0 0 0 0 2
16 9839 339 10 6.596797415 0 0 0.8115915655 0 0 500 0 0 500 0 0 3992.624707 0 0 0 0 0 2
16.1 9838 338 10 6.678718922 0 0 0.8166738993 0 0 500 0 0 500 0 0 4017.218911 0 0 0 0 0 2
16.2 9837 337 10 6.761148739 0 0 0.8217567498 0 0 500 0 0 500 0 0 4041.810574 0 0 0 0 0 2
16.3 9836 336 10 6.844086919 0 0 0.826840117 0 0 500 0 0 500 0 0 4066.399695 0 0 0 0 0 2
16.4 9835 335 10 6.927533514 0 0 0.8319240011 0 0 500 0 0 500 0 0 4090.986275 0 0 0 0 0 2
